ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Example_IDs
lith1251-l-question,lith1251,l-question,bet / joks / kai / kaz- / nie- / nors,,,,
lith1251-l-conditional,lith1251,l-conditional,bet / joks / kai / kaz- / nie- / nors,,,,lith1251-1
lith1251-l-indirect-negation,lith1251,l-indirect-negation,bet / joks / kai / kaz- / nie- / nors,,,,lith1251-2;lith1251-7
lith1251-l-direct-negation,lith1251,l-direct-negation,bet / joks / kai / kaz- / nie- / nors,,,,lith1251-3;lith1251-6
lith1251-l-comparative,lith1251,l-comparative,bet / joks / kai / kaz- / nie- / nors,,,,lith1251-5
lith1251-l-free-choice,lith1251,l-free-choice,bet / joks / kai / kaz- / nie- / nors,,,,lith1251-4
latv1249-l-specific-known,latv1249,l-specific-known,jeb / kaut / ne-,,,,latv1249-1
latv1249-l-specific-unknown,latv1249,l-specific-unknown,jeb / kaut / ne-,,,,latv1249-1
latv1249-l-irrealis-nsp,latv1249,l-irrealis-nsp,jeb / kaut / ne-,,,,latv1249-2
latv1249-l-question,latv1249,l-question,jeb / kaut / ne-,,,,latv1249-3
latv1249-l-conditional,latv1249,l-conditional,jeb / kaut / ne-,,,,latv1249-4;latv1249-5
latv1249-l-indirect-negation,latv1249,l-indirect-negation,jeb / kaut / ne-,,,,latv1249-8;latv1249-9
latv1249-l-direct-negation,latv1249,l-direct-negation,jeb / kaut / ne-,,,,latv1249-10
latv1249-l-comparative,latv1249,l-comparative,jeb / kaut / ne-,,,,latv1249-7
latv1249-l-free-choice,latv1249,l-free-choice,jeb / kaut / ne-,,,,latv1249-6
iris1253-l-specific-known,iris1253,l-specific-known,ar bith /aon / dada / eigin,,,,iris1253-1
iris1253-l-specific-unknown,iris1253,l-specific-unknown,ar bith /aon / dada / eigin,,,,iris1253-2
iris1253-l-irrealis-nsp,iris1253,l-irrealis-nsp,ar bith /aon / dada / eigin,,,,iris1253-3;iris1253-4
iris1253-l-question,iris1253,l-question,ar bith /aon / dada / eigin,,,,iris1253-5;iris1253-6;iris1253-7
iris1253-l-conditional,iris1253,l-conditional,ar bith /aon / dada / eigin,,,,iris1253-8;iris1253-9;iris1253-10
iris1253-l-indirect-negation,iris1253,l-indirect-negation,ar bith /aon / dada / eigin,,,,iris1253-11;iris1253-12
iris1253-l-direct-negation,iris1253,l-direct-negation,ar bith /aon / dada / eigin,,,,iris1253-15;iris1253-16;iris1253-17
iris1253-l-comparative,iris1253,l-comparative,ar bith /aon / dada / eigin,,,,iris1253-13;iris1253-14
iris1253-l-free-choice,iris1253,l-free-choice,ar bith /aon / dada / eigin,,,,iris1253-18;iris1253-19
osse1243-l-specific-known,osse1243,l-specific-known,-doer / -doeriddoer / is- / ma-/ni-,,,,osse1243-1
osse1243-l-specific-unknown,osse1243,l-specific-unknown,-doer / -doeriddoer / is- / ma-/ni-,,,,osse1243-1
osse1243-l-irrealis-nsp,osse1243,l-irrealis-nsp,-doer / -doeriddoer / is- / ma-/ni-,,,,osse1243-2
osse1243-l-question,osse1243,l-question,-doer / -doeriddoer / is- / ma-/ni-,,,,osse1243-3
osse1243-l-conditional,osse1243,l-conditional,-doer / -doeriddoer / is- / ma-/ni-,,,,osse1243-4
osse1243-l-indirect-negation,osse1243,l-indirect-negation,-doer / -doeriddoer / is- / ma-/ni-,,,,osse1243-5
osse1243-l-direct-negation,osse1243,l-direct-negation,-doer / -doeriddoer / is- / ma-/ni-,,,,osse1243-8;osse1243-9
osse1243-l-comparative,osse1243,l-comparative,-doer / -doeriddoer / is- / ma-/ni-,,,,osse1243-7
osse1243-l-free-choice,osse1243,l-free-choice,-doer / -doeriddoer / is- / ma-/ni-,,,,osse1243-6
west2369-l-specific-known,west2369,l-specific-known,hic / -i,,,,west2369-1
west2369-l-specific-unknown,west2369,l-specific-unknown,hic / -i,,,,
west2369-l-irrealis-nsp,west2369,l-irrealis-nsp,hic / -i,,,,west2369-2
west2369-l-question,west2369,l-question,hic / -i,,,,west2369-3
west2369-l-conditional,west2369,l-conditional,hic / -i,,,,west2369-4
west2369-l-indirect-negation,west2369,l-indirect-negation,hic / -i,,,,west2369-5
west2369-l-direct-negation,west2369,l-direct-negation,hic / -i,,,,west2369-6
west2369-l-comparative,west2369,l-comparative,hic / -i,,,,
west2369-l-free-choice,west2369,l-free-choice,hic / -i,,,,west2369-7;west2369-8
hind1269-l-specific-known,hind1269,l-specific-known,bhii / koii,,,,hind1269-1
hind1269-l-specific-unknown,hind1269,l-specific-unknown,bhii / koii,,,,hind1269-2
hind1269-l-irrealis-nsp,hind1269,l-irrealis-nsp,bhii / koii,,,,hind1269-6;hind1269-7
hind1269-l-question,hind1269,l-question,bhii / koii,,,,hind1269-8
hind1269-l-conditional,hind1269,l-conditional,bhii / koii,,,,hind1269-9
hind1269-l-indirect-negation,hind1269,l-indirect-negation,bhii / koii,,,,hind1269-3
hind1269-l-direct-negation,hind1269,l-direct-negation,bhii / koii,,,,hind1269-4;hind1269-5
hind1269-l-comparative,hind1269,l-comparative,bhii / koii,,,,hind1269-10
hind1269-l-free-choice,hind1269,l-free-choice,bhii / koii,,,,hind1269-11
nucl1301-l-specific-known,nucl1301,l-specific-known,bir / herhangi / hiç,,,,nucl1301-1
nucl1301-l-specific-unknown,nucl1301,l-specific-unknown,bir / herhangi / hiç,,,,nucl1301-2
nucl1301-l-irrealis-nsp,nucl1301,l-irrealis-nsp,bir / herhangi / hiç,,,,nucl1301-3
nucl1301-l-question,nucl1301,l-question,bir / herhangi / hiç,,,,nucl1301-4
nucl1301-l-conditional,nucl1301,l-conditional,bir / herhangi / hiç,,,,nucl1301-5
nucl1301-l-indirect-negation,nucl1301,l-indirect-negation,bir / herhangi / hiç,,,,nucl1301-6
nucl1301-l-direct-negation,nucl1301,l-direct-negation,bir / herhangi / hiç,,,,nucl1301-7
nucl1301-l-comparative,nucl1301,l-comparative,bir / herhangi / hiç,,,,nucl1301-9
nucl1301-l-free-choice,nucl1301,l-free-choice,bir / herhangi / hiç,,,,nucl1301-8
kaza1248-l-specific-known,kaza1248,l-specific-known,älde- / bir / bolsa da / es,,,,kaza1248-1;kaza1248-2;kaza1248-3
kaza1248-l-specific-unknown,kaza1248,l-specific-unknown,älde- / bir / bolsa da / es,,,,kaza1248-1;kaza1248-2;kaza1248-4
kaza1248-l-irrealis-nsp,kaza1248,l-irrealis-nsp,älde- / bir / bolsa da / es,,,,kaza1248-5
kaza1248-l-question,kaza1248,l-question,älde- / bir / bolsa da / es,,,,kaza1248-6
kaza1248-l-conditional,kaza1248,l-conditional,älde- / bir / bolsa da / es,,,,kaza1248-7
kaza1248-l-indirect-negation,kaza1248,l-indirect-negation,älde- / bir / bolsa da / es,,,,kaza1248-8
kaza1248-l-direct-negation,kaza1248,l-direct-negation,älde- / bir / bolsa da / es,,,,kaza1248-9
kaza1248-l-comparative,kaza1248,l-comparative,älde- / bir / bolsa da / es,,,,
kaza1248-l-free-choice,kaza1248,l-free-choice,älde- / bir / bolsa da / es,,,,kaza1248-10;kaza1248-11
yaku1245-l-specific-known,yaku1245,l-specific-known,bayarar / -da / eme / ere,,,,yaku1245-1
yaku1245-l-specific-unknown,yaku1245,l-specific-unknown,bayarar / -da / eme / ere,,,,yaku1245-1
yaku1245-l-irrealis-nsp,yaku1245,l-irrealis-nsp,bayarar / -da / eme / ere,,,,yaku1245-2
yaku1245-l-question,yaku1245,l-question,bayarar / -da / eme / ere,,,,yaku1245-3
yaku1245-l-conditional,yaku1245,l-conditional,bayarar / -da / eme / ere,,,,yaku1245-4
yaku1245-l-indirect-negation,yaku1245,l-indirect-negation,bayarar / -da / eme / ere,,,,
yaku1245-l-direct-negation,yaku1245,l-direct-negation,bayarar / -da / eme / ere,,,,yaku1245-5
yaku1245-l-comparative,yaku1245,l-comparative,bayarar / -da / eme / ere,,,,yaku1245-6
yaku1245-l-free-choice,yaku1245,l-free-choice,bayarar / -da / eme / ere,,,,yaku1245-7
hung1274-l-specific-known,hung1274,l-specific-known,akar-/bar- / sem / vala-,,,,hung1274-2
hung1274-l-specific-unknown,hung1274,l-specific-unknown,akar-/bar- / sem / vala-,,,,hung1274-1
hung1274-l-irrealis-nsp,hung1274,l-irrealis-nsp,akar-/bar- / sem / vala-,,,,hung1274-3
hung1274-l-question,hung1274,l-question,akar-/bar- / sem / vala-,,,,hung1274-10
hung1274-l-conditional,hung1274,l-conditional,akar-/bar- / sem / vala-,,,,hung1274-9
hung1274-l-indirect-negation,hung1274,l-indirect-negation,akar-/bar- / sem / vala-,,,,hung1274-8
hung1274-l-direct-negation,hung1274,l-direct-negation,akar-/bar- / sem / vala-,,,,hung1274-4;hung1274-5
hung1274-l-comparative,hung1274,l-comparative,akar-/bar- / sem / vala-,,,,hung1274-7
hung1274-l-free-choice,hung1274,l-free-choice,akar-/bar- / sem / vala-,,,,hung1274-6
finn1318-l-specific-known,finn1318,l-specific-known,eräs / hyvänsä / -kaan / -kin,,,,finn1318-1;finn1318-2
finn1318-l-specific-unknown,finn1318,l-specific-unknown,eräs / hyvänsä / -kaan / -kin,,,,finn1318-3
finn1318-l-irrealis-nsp,finn1318,l-irrealis-nsp,eräs / hyvänsä / -kaan / -kin,,,,finn1318-4
finn1318-l-question,finn1318,l-question,eräs / hyvänsä / -kaan / -kin,,,,finn1318-5
finn1318-l-conditional,finn1318,l-conditional,eräs / hyvänsä / -kaan / -kin,,,,finn1318-6
finn1318-l-indirect-negation,finn1318,l-indirect-negation,eräs / hyvänsä / -kaan / -kin,,,,finn1318-8
finn1318-l-direct-negation,finn1318,l-direct-negation,eräs / hyvänsä / -kaan / -kin,,,,finn1318-7
finn1318-l-comparative,finn1318,l-comparative,eräs / hyvänsä / -kaan / -kin,,,,finn1318-9;finn1318-11
finn1318-l-free-choice,finn1318,l-free-choice,eräs / hyvänsä / -kaan / -kin,,,,finn1318-10
nana1257-l-specific-known,nana1257,l-specific-known,-daa / -daa xem aja / -nuu,,,,nana1257-9
nana1257-l-specific-unknown,nana1257,l-specific-unknown,-daa / -daa xem aja / -nuu,,,,nana1257-8
nana1257-l-irrealis-nsp,nana1257,l-irrealis-nsp,-daa / -daa xem aja / -nuu,,,,nana1257-5;nana1257-6
nana1257-l-question,nana1257,l-question,-daa / -daa xem aja / -nuu,,,,
nana1257-l-conditional,nana1257,l-conditional,-daa / -daa xem aja / -nuu,,,,nana1257-4
nana1257-l-indirect-negation,nana1257,l-indirect-negation,-daa / -daa xem aja / -nuu,,,,nana1257-2
nana1257-l-direct-negation,nana1257,l-direct-negation,-daa / -daa xem aja / -nuu,,,,nana1257-1
nana1257-l-comparative,nana1257,l-comparative,-daa / -daa xem aja / -nuu,,,,nana1257-3
nana1257-l-free-choice,nana1257,l-free-choice,-daa / -daa xem aja / -nuu,,,,nana1257-7
